post_no,type,writer,body,time
926901239,body,Kitchen B1,"[COURSE1]
설렁탕, 잡곡밥, 너비아니구이,
느타리버섯볶음, 고들빼기무침
740kcal(단백질:39g)Na함량:1213mg(염도:0.7%)
[COURSE2]
나시고랭, 쌀국수국물,
모듬춘권&칠리소스, 레몬양파초절임
950kcal(단백질:26g)Na함량:1225mg(염도:0.5%)
[샐러드바]
그린샐러드, 요거트, 토핑3종,
현미밥/백미밥, 포기김치/석박지",2023년 6월 14일 오전 11:06
926901240,body,Kitchen B1,"[COURSE1]
훈제오리볶음&양파구이, 잡곡밥,
아욱된장국, 바싹김치전, 무쌈&머스타드소스
857kcal(단백질:30g)Na함량:1373mg(염도:0.7%)
[COURSE2]
가츠동돈부리, 어묵국,
방울토마토보코치니치즈&발사믹D, 단무지무침
941kcal(단백질:38g)Na함량:1234mg(염도:0.5%)
[샐러드바]
그린샐러드, 쿠스쿠스샐러드, 크래커,
현미밥/백미밥, 포기김치/깍두기",2023년 6월 14일 오후 6:05
926901241,body,Kitchen B1,"[COURSE1]
오징어돈육두루치기, 잡곡밥, 감자양파국,
계란장조림, 시래기지짐
851kcal(단백질:44g)Na함량:1322mg(염도:0.6%)
[COURSE2]
<헬시데이>두부카츠채소덮밥, 미소시루,
오렌지컬리플라워샐러드, 블루베리무피클, 식물성오트요거트
801kcal(단백질:48g)Na함량:1261mg(염도:0.6%)
[샐러드바]
그린샐러드, 과일푸딩, 알새우칩,
현미밥/백미밥, 배추겉절이/깍두기",2023년 6월 15일 오전 11:15
926901242,body,Kitchen B1,"[COURSE1]
철판백순대볶음&양념장, 잡곡밥,
미역국, 미니새송이버섯간장조림, 겨자채무침
902kcal(단백질:23g)Na함량:1387mg(염도:0.6%)
[COURSE2]
소고기우엉볶음밥, 콩가루배추된장국,
크리미어니언피쉬커틀릿, 적채양배추절임
942kcal(단백질:36g)Na함량:1238mg(염도:0.6%)
[샐러드바]
그린샐러드, 누룽지샐러드, 수정과,
현미밥/백미밥,포기김치/깍두기",2023년 6월 15일 오후 6:24
926901243,body,Kitchen B1,"[COURSE1]
초계국수, 후리가케김가루밥,
갈비만두찜, 참나물겉절이
991kcal(단백질:66g)Na함량:1481mg(염도:0.6%)
[COURSE2]
고갈비구이, 잡곡밥, 몽글순두부*양념장,
부들어묵볶음, 알마늘장아찌
711kcal(단백질:59g)Na함량:1307mg(염도:0.5%)
[샐러드바]
그린샐러드, 나쵸*살사소스, 아이스티,
현미밥/백미밥, 포기김치/깍두기",2023년 6월 16일 오전 11:04
926901243,comment,Kitchen B1,중식2코스 고갈비구이 품절되었습니다.,2023년 6월 16일
926901243,comment,Kitchen B1,중식1코스 추가 찬 어묵볶음 제공됩니다.,2023년 6월 16일
926901244,body,Kitchen B1,"[COURSE1]
육개장, 잡곡밥, 단호박전,
명엽채볶음, 무들깨나물
746kcal(단백질:40g)Na함량:1174mg(염도:0.5%)
[샐러드바]
그린샐러드, 렌틸콩샐러드, 초코쿠키,
현미밥/백미밥, 포기김치/열무김치",2023년 6월 16일 오후 5:58
926901246,body,Kitchen B1,"[COURSE1]
떙초어묵우동,후리가케밥,
납작부침만두&비빔야채,유자꼬들단무지
981kcal(단백질:36g)Na함량:1260mg(염도:0.6%)
[COURSE2]
소고기숙주볶음,잡곡밥,김치국,
매콤두부조림,오복지무침
705kcal(단백질:34g)Na함량:1009mg(염도:0.6%)
[샐러드바]
그린샐러드,요거트, 토핑3종,
현미밥/백미밥, 포기김치/깍두기",2023년 6월 19일 오전 10:56
926901247,body,Kitchen B1,"[COURSE1]
콩비지찌개, 잡곡밥, 계란말이,
쥐어채땅콩볶음, 참나물겉절이
882kcal(단백질:63g)Na함량:1339mg(염도:0.6%)
[COURSE2]
하이라이스&코코넛치즈돈까스, 유부된장국,
고구마샐러드, 락교무침
968kcal(단백질:36g)Na함량:1319mg(염도:0.5%)
[샐러드바]
그린샐러드,마카로니샐러드, 석류차,
현미밥/백미밥,포기김치/석박지",2023년 6월 19일 오후 6:03
926901248,body,Kitchen B1,"[COURSE1]
돼지국밥*새우젓, 잡곡밥, 오징어채소초무침,
브로콜리통마늘볶음, 부추겉절이
714kcal(단백질:43g)Na함량:1462mg(염도:0.6%)
[COURSE2]
베이컨갈릭볶음밥&계란프라이, 미소시루,
닭강정&알새우칩,궁채장아찌
955kcal(단백질:58g)Na함량:1390mg(염도:0.5%)
[샐러드바]
그린샐러드,바나나칩샐러드샐러드,자몽차,
현미밥/백미밥, 배추겉절이/깍두기",2023년 6월 20일 오전 11:12
926901249,body,Kitchen B1,"[COURSE1]
매실청돈육불고기,잡곡밥,콩나물국
호박깻잎채전, 도토리묵무침,양배추쌈&쌈장
881kcal(단백질:36g)Na함량:1227mg
[COURSE2]
삼색야끼도리덮밥, 무채국, 네기타코야끼,
미니새송이파프리카볶음
934kcal(단백질:57g)Na함량:1271mg(염도:0.5%)
[샐러드바]
그린샐러드,모듬콩샐러드, 고구마스틱,
현미밥/백미밥,포기김치/깍두기",2023년 6월 20일 오후 6:10
926901249,comment,Kitchen B1,2코너 삼색야끼도리덮밥 품절되었습니다,2023년 6월 20일
926901250,body,Kitchen B1,"[COURSE1]
불고기퀘사디아&양념감자튀김,*샤워크림/살사소스, 콜드파스타,양배추적채피클, 탄산음료
966kcal(단백질:21g)Na함량:1008mg
[COURSE2]
고추장삼겹살구이&구운양파,잡곡밥,
유채된장국, 알감자조림,꽃상추겉절이
986kcal(단백질:33g)Na함량:1288mg(염도:0.6%)
[샐러드바]
그린샐러드, 과일푸딩, 계란과자,
현미밥/백미밥, 포기김치/깍두기",2023년 6월 21일 오전 11:15
926901251,body,Kitchen B1,"[COURSE1]
떡만두국, 잡곡밥,
어니언떡갈비구이, 열무나물, 오이양파무침
891kcal(단백질:27g)Na함량:1273mg(염도:0.6%)
[COURSE2]
차돌깍두기볶음밥&계란프라이, 맑은팽이버섯국,
궁중떡볶이, 치커리유자청무침
896kcal(단백질:35g)Na함량:1227mg(염도:0.5%)
[샐러드바]
그린샐러드, 후르츠콘샐러드,오미자차,
현미밥/백미밥.포기김치/깍두기",2023년 6월 21일 오후 6:08
926901251,comment,Kitchen B1,석식2코너 차돌깍두기볶음밥&계란프라이 품절되었습니다.,2023년 6월 21일
926901254,body,Kitchen B1,"[COURSE1]
소고기샤브샤브, 잡곡밥, 완자전,
시금치나물, 건새우마늘쫑볶음
861kcal(단백질:55g)Na함량:1345mg(염도:0.6%)
[COURSE2]
오징어비빔밥, 수제비국,
미니돈까스조림,맑은오이지무침
933kcal(단백질:33g)Na함량:1332mg(염도:0.6%)
[샐러드바]
그린샐러드, 연근샐러드,매실차,
현미밥/백미밥, 포기김치/열무김치",2023년 6월 22일 오전 11:18
926901255,body,Kitchen B1,"[COURSE1]
느타리버섯무밥*양념장,돈육고추장찌개,
조기한마리구이,가지나물,깻잎지무침
668kcal(단백질:34g)Na함량:1327mg(염도:0.7%)
[COURSE2]
마파두부덮밥, 계란파국,
후르츠탕수육, 양장피겨자냉채
981kcal(단백질:55g)Na함량:1100mg(염도:0.6%)
[샐러드바]
그린샐러드, 요거트,토핑3종,
현미밥/백미밥,포기김치/깍두기",2023년 6월 22일 오후 6:05
926901255,comment,Kitchen B1,석식2코너 마파두부덮밥은 품절되었습니다.,2023년 6월 22일
926901256,body,Kitchen B1,"[COURSE1]
<런치스페셜>치뱅이,치킨&골뱅이무침&소면사리,감자튀김,
김가루양념밥,탄산&무알콜맥주,치킨무
1194kcal(단백질:50g)Na함량:1330mg
[COURSE2]
<런치스페셜>치뱅이,치킨&골뱅이무침&소면사리,감자튀김,
김가루양념밥,탄산&무알콜맥주,치킨무
1194kcal(단백질:50g)Na함량:1330mg
[샐러드바]
그린샐러드, 코우슬로샐러드, 오렌지,
현미밥/백미밥, 포기김치/깍두기",2023년 6월 23일 오전 11:07
926901257,body,Kitchen B1,"[COURSE1]
맑은소고기무국, 잡곡밥, 바싹김치전,
데리야끼미트볼조림, 무말랭이무침
740kcal(단백질:25g)Na함량:1229mg(염도:0.6%)
[샐러드바]
그린샐러드, 살사푸실리샐러드, 식혜,
현미밥/백미밥, 포기김치/열무김치",2023년 6월 23일 오후 5:51
926901260,body,Kitchen B1,"[COURSE1]
양지탕,잡곡밥,두부구이&들기름양념장,
느타리버섯볶음,고구마순나물,
<매일유업>더그레잇티콤부차
728kcal(단백질:31g)Na함량:1240mg(염도:0.6%)
[COURSE2]
돈목살필라프&계란프라이,맑은유부국,
고로케&케첩,한입단무지,
<매일유업>더그레잇티콤부차
999kcal(단백질:35g)Na함량:1242mg(염도:0.5%)
[샐러드바]
그린샐러드,과일푸딩, 건빵튀김,
현미밥/백미밥, 포기김치/깍두기",2023년 6월 26일 오전 11:17
926901262,body,Kitchen B1,"[COURSE1]
고사리오일파스타,크림스프,
그릴함박&구운감자*씨겨자s,수제모듬피클
819kcal(단백질:38g)Na함량:1335mg(염도:0.6%)
[COURSE2]
닭보쌈,잡곡밥,시래기된장국,
옥수수맛살전,보쌈무김치
907kcal(단백질:41g)Na함량:1282mg(염도:0.6%)
[샐러드바]
그린샐러드,요거트,토핑3종,
현미밥/백미밥, 배추겉절이/깍두기",2023년 6월 27일 오전 11:14
926901262,comment,Kitchen B1,1코너 고사리오일파스타 품절 되었습니다,2023년 6월 27일
926901262,comment,Kitchen B1,2코너 씨겨자감자샐러드 추가찬 제공됩니다,2023년 6월 27일
926901262,comment,Kitchen B1,1코너 그릴함박->돈까스로 변경되어 제공되었습니다.,2023년 6월 27일
926901263,body,Kitchen B1,"[COURSE1]
장터국밥,잡곡밥,계란말이,
우엉파프리카조림.고들빼기무침
939kcal(단백질:51g)Na함량:1219mg(염도:0.6%)
[COURSE2]
옛날카레라이스&새우튀김,우동국물,
토마토순두부샐러드,락교무침
725kcal(단백질:21g)Na함량:1060mg(염도:0.5%)
[샐러드바]
그린샐러드,이집트콩샐러드, 제크,
현미밥/백미밥,포기김치/깍두기",2023년 6월 27일 오후 5:50
926901263,comment,Kitchen B1,석식2코너 옛날카레라이스&새우튀김은 품절되었습니다.,2023년 6월 27일
926901264,body,Kitchen B1,"[COURSE1]
차돌된장찌개,잡곡밥,돈저냐구이&파채,
명엽채볶음,비름나물
710kcal(단백질:(~g)Na함량:1268mg(염도:0.6%)
[COURSE2]
중화풍버섯잡채덮밥,게맛살스프,
군만두유린기,중화오이무침
826kcal(단백질:21g)Na함량:1402mg(염도:0.6%)
[샐러드바]
그린샐러드,렌틸콩유자샐러드, 복분자차,
현미밥/백미밥, 포기김치/열무김치",2023년 6월 28일 오전 11:00
926901264,comment,Kitchen B1,샐러드바 복분자차->오미자차 로 변경되었습니다.,2023년 6월 28일
926901264,comment,Kitchen B1,중식 1코너 차돌된장찌개 품절되었습니다.,2023년 6월 28일
926901265,body,Kitchen B1,"[COURSE1]
뚝배기버섯소불고기,잡곡밥,부추장떡,
무들깨나물,다시마쌈&초고추장
823kcal(단백질:32g)Na함량:1282mg(염도:0.6%)
매콤떡볶이&튀긴어묵꼬치,어묵국,후리가케밥,
순대찜&양념소금,단무지
891kcal(단백질:20g)Na함량:1167mg(염도:0.6%)
[샐러드바]
그린샐러드, 멕시칸샐러드,누네띠네,
현미밥/백미밥.포기김치/깍두기",2023년 6월 28일 오후 6:04
926901266,body,Kitchen B1,"[COURSE1]
유부쑥갓잔치국수,소시지치즈김밥반줄,
야채튀김*초간장,오복지무침
994kcal(단백질:42g)Na함량:1411mg(염도:0.6%)
[COURSE2]
매콤콩나물돈육불고기,잡곡밥,배추된장국,
해물부추전,상추쌈&쌈장
885kcal(단백질:50g)Na함량:1417mg(염도:0.6%)
[샐러드바]
그린샐러드,누룽지샐러드,깨강정
현미밥/백미밥, 포기김치/깍두기",2023년 6월 29일 오전 11:07
926901267,body,Kitchen B1,"[COURSE1]
사골우거지탕,잡곡밥,모듬장조림,
구운가지&양념장,건파래자반
756kcal(단백질:41g)Na함량:1292mg(염도:0.6%)
[COURSE2]
지파이버거&알새우칩,오지치즈프라이&케첩소스,
오이피클,탄산음료
988kcal(단백질:31g)Na함량:1126mg
[샐러드바]
그린샐러드, 요거트,토핑3종,
현미밥/백미밥,포기김치/열무김치",2023년 6월 29일 오후 6:05
926901267,comment,Kitchen B1,2코너 지파이버거 품절 되었습니다.,2023년 6월 29일
926901268,body,Kitchen B1,"[COURSE1]
참치김치찌개,잡곡밥,언양식떡갈비,
게맛살미역줄기볶음,참나물무침
750kcal(단백질:27g)Na함량:1037mg(염도:0.7%)
[COURSE2]
라따뚜이오므라이스,우동국물,
두부코코넛치킨까스&머스타드S,블루베리무피클
978kcal(단백질:37g)Na함량:1346mg(염도:0.5%)
[샐러드바]
그린샐러드, 바나나, 수정과,
현미밥/백미밥, 포기김치/석박지",2023년 6월 30일 오전 11:13
926901268,comment,정승주,🐭👨‍🍳,2023년 6월 30일
926901268,comment,Kitchen B1,중식1코너 언양식떡갈비->너비아니구이로 변경되었습니다.,2023년 6월 30일
926901268,comment,Kitchen B1,중식2코너 두부코코넛치킨까스->돈까스로 변경되었습니다.,2023년 6월 30일
926901268,comment,Kitchen B1,중식1코너 참치김치찌개는 품절되었습니다.,2023년 6월 30일
926901271,body,Kitchen B1,"[COURSE1]
간장불고기묵채비빔밥,호박새우젓국,
메밀전병,오이깍둑무침
633kcal(단백질:17g)Na함량:1297mg(염도:0.6%)
[샐러드바]
그린샐러드, 천사채샐러드, 웨하스,
현미밥/백미밥, 포기김치/깍두기",2023년 6월 30일 오후 5:58
926901273,body,Kitchen B1,"[COURSE1]
소고기미역국,잡곡밥,두부숙회&돈육김치볶음,
감자채볶음,알마늘지무침
761kcal(단백질:35g)Na함량:1242mg(염도:0.6%)
[COURSE2]
멜팅치즈돈까스&구운채소,쌀밥(소),양송이크림스프,
모닝빵&딸기잼,블루베리무피클
814kcal(단백질:26g)Na함량:1297mg(염도:0.5%)
[샐러드바]
그린샐러드,요거트,토핑3종
현미밥/백미밥, 포기김치/깍두기",2023년 7월 3일 오전 11:05
926901273,comment,Kitchen B1,중식2코스 멜팅치즈돈까스&구운채소 품절되었습니다,2023년 7월 3일
926901274,body,Kitchen B1,"[COURSE1]
누룽지봉추찜닭,잡곡밥,유채된장국,
비엔나소시지볶음,청포묵김가루무침
902kcal(단백질:40g)Na함량:1356mg(염도:0.6%)
[COURSE2]
가쓰오해물나시고랭,쌀국수국물,
모듬춘권&칠리S,양파레몬초절임
985kcal(단백질:42g)Na함량:1350mg(염도:0.5%)
[샐러드바]
그린샐러드,살사푸실리샐러드, 매실차,
현미밥/백미밥,포기김치/깍두기",2023년 7월 3일 오후 6:00
926901274,comment,Kitchen B1,1코너 누룽지봉추찜닭 품절되었습니다,2023년 7월 3일
926901275,body,Kitchen B1,"[COURSE1]
돼지양념구이,잡곡밥,시금치된장국,
부들어묵볶음,양배추쌈&쌈장
957kcal(단백질:38g)Na함량:1335mg(염도:0.6%)
[COURSE2]
오징어볶음덮밥&꺳잎상추채,물만두국,
녹두전*초간장,맑은오이지무침
835kcal(단백질:41g)Na함량:1282mg(염도:0.6%)
[샐러드바]
그린샐러드,모듬콩샐러드,다시마튀각
현미밥/백미밥, 포기김치/열무김치",2023년 7월 4일 오전 11:09
926901275,comment,Kitchen B1,중식2코너 오징어볶음덮밥&깻잎상추채는 품절되었습니다.,2023년 7월 4일
926901276,body,Kitchen B1,"[COURSE1]
마라탕면,쌀밥(소),
꿔바로우,짜사이무침
1054kcal(단백질:51g)Na함량:1219mg(염도:0.6%)
[COURSE2]
산채보리비빔밥*계란후라이,청국장찌개,
너비아니구이,브로콜리통마늘볶음,비빔고추장
930kcal(단백질:21g)Na함량:1060mg(염도:0.5%)
[샐러드바]
그린샐러드,바나나칩샐러드, 감식초,
현미밥/백미밥,포기김치/열무김치",2023년 7월 4일 오후 6:02
926901276,comment,Kitchen B1,석식1코너 꿔바로우->탕수육으로 변경되었습니다.,2023년 7월 4일
926901276,comment,Kitchen B1,석식 2코너 산채보리비빔밥은 품절되었습니다.,2023년 7월 4일
926901277,body,Kitchen B1,"[COURSE1]
치즈부대전골&라면사리,잡곡밥,계란찜,
삼색겨자채,반반콩자반
810kcal(단백질:(~g)Na함량:1268mg(염도:0.6%)
[COURSE2]
베이컨크림리조또,노엣지직화불고기피자,
오이피클,탄산음료
884kcal(단백질:21g)Na함량:1402mg(염도:0.6%)
[샐러드바]
그린샐러드,과일푸딩,알새우칩,
현미밥/백미밥, 배추겉절이/깍두기",2023년 7월 5일 오전 11:19
926901277,comment,Kitchen B1,중식 1코너 치즈부대전골은 품절되었습니다.,2023년 7월 5일
926901278,body,Kitchen B1,"[COURSE1]
순두부찌개,잡곡밥,동그랑땡조림,
쥐어채볶음,청경채겉절이
847kcal(단백질:32g)Na함량:1282mg(염도:0.6%)
[COURSE2]
새우볶음밥&자장소스,채소짬뽕국,
깐풍기,한입단무지
766kcal(단백질:20g)Na함량:1167mg(염도:0.6%)
[샐러드바]
그린샐러드, 요거트,토핑3종,
현미밥/백미밥.포기김치/깍두기",2023년 7월 5일 오후 5:53
926901279,body,Kitchen B1,"[COURSE1]
<제철식재>콩,콩국수,미니수육&보쌈무김치,
오미자토마토절임
956kcal(단백질:42g)Na함량:1411mg(염도:0.6%)
[COURSE2]
<제철식재>옥수수 춘천식뼈없는닭갈비,잡곡밥,얼갈이된장국,
깻잎호박채전,간장마늘쫑지,양념옥수수구이
915kcal(단백질:50g)Na함량:1417mg(염도:0.6%)
[샐러드바]
그린샐러드,오렌지,식혜
현미밥/백미밥, 포기김치/석박지",2023년 7월 6일 오전 11:08
926901280,body,Kitchen B1,"[COURSE1]
동태매운탕,잡곡밥,오징어초무침,
메추리알장조림,호박새우젓복음
770kcal(단백질:41g)Na함량:1292mg(염도:0.6%)
[COURSE2]
장조림버터비빔밥,감자양파국,
코코넛연어치즈까스&타르타르소스,궁채장아찌
894kcal(단백질:31g)Na함량:1126mg
[샐러드바]
그린샐러드, 실곤약샐러드,고구마스틱
현미밥/백미밥,포기김치/깍두기",2023년 7월 6일 오후 5:56
926901280,comment,Kitchen B1,석식2코너 장조림버터비빔밥은 품절되었습니다.,2023년 7월 6일
926901281,body,Kitchen B1,"[COURSE1]
꼬막영양밥*양념장,미니묵사발,도톰완자전,
두부쑥갓나물,구운파래김
611kcal(단백질:27g)Na함량:1037mg(염도:0.7%)
[COURSE2]
명란마요규동,팽이버섯장국,
피쉬커틀릿&어니언드레싱S,락교&초생강
967kcal(단백질:37g)Na함량:1346mg(염도:0.5%)
[샐러드바]
그린샐러드,후르츠콘샐러드,참깨크래커,
현미밥/백미밥, 포기김치/깍두기",2023년 7월 7일 오전 10:55
